Roll No,Age,Gender,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Extracurricular,MSE s1,MSE s2,MSE s3,MSE s4,MSE s5,CGPA,Grade
1321,20,1,1,6.440816721,2,0,1,1,1,21,16,16,16,5,7.577423725,B
1322,20,1,1,6.351163525,11,0,4,1,1,21,15,15,15,20,7.436243547,B
1323,20,1,1,18.44938657,29,1,3,1,1,30,20,20,20,20,9.42,A+
1324,20,0,0,8.533223561,4,0,2,0,0,23,16,16,16,11,8.054678544,A
1325,20,1,2,15.62505062,5,1,1,0,0,28,19,19,19,20,9.9,A+
1326,20,0,4,13.66699317,18,0,3,0,0,26,18,18,18,19,9.14343035,A+
1327,20,0,4,18.17834481,17,0,3,0,0,29,20,20,20,20,9.66,A+
1328,20,1,3,7.168049709,15,1,3,0,0,22,16,16,16,12,7.546219221,B
1329,20,1,2,7.241068356,22,0,0,0,0,22,16,16,16,8,7.329828138,B
1330,20,0,2,13.88384116,10,0,1,1,1,26,18,18,18,19,9.433899801,A+
1331,20,1,1,19.94366794,4,0,2,1,1,30,20,20,20,20,9.92,A+
1332,20,0,2,11.67774291,8,0,3,0,0,25,17,17,17,16,8.866876443,A
1333,20,0,2,10.30798823,2,0,0,0,0,24,17,17,17,12,8.536482283,A
1334,20,1,2,14.65961169,29,0,2,0,0,27,18,18,18,20,9.220957393,A+
1335,20,1,2,19.69586712,7,0,2,0,0,30,20,20,20,20,9.86,A+
1336,20,0,1,18.24109962,5,0,3,0,0,29,20,20,20,20,9.9,A+
1337,20,0,1,20.70752283,3,0,2,1,1,30,20,20,20,20,9.94,A+
1338,20,0,3,5.573289072,11,0,2,0,0,20,15,15,15,2,7.17298877,B
1339,20,0,0,6.977793362,11,0,3,0,0,21,16,16,16,9,7.519062148,B
1340,20,1,2,14.70283187,24,0,4,0,0,27,18,18,18,20,9.306861706,A+
1341,20,1,3,17.98674461,20,0,1,1,1,29,20,20,20,20,9.6,A+
1342,20,1,2,9.659356436,15,0,1,1,1,23,17,17,17,10,8.166577311,A
1343,20,1,2,8.943283592,9,0,4,1,1,23,16,16,16,12,8.137465977,A
1344,20,1,1,17.46406799,21,0,2,0,0,29,19,19,19,20,9.58,A+
1345,20,0,1,6.099273282,13,0,3,0,0,21,15,15,15,14,7.256986208,B
1346,20,1,3,10.96817452,12,0,3,0,0,24,17,17,17,20,8.560384049,A
1347,20,1,2,13.09036568,8,0,1,0,0,26,18,18,18,20,9.221539832,A+
1348,20,1,2,13.93875716,6,0,3,1,1,26,18,18,18,19,9.502859511,A+
1349,20,1,0,16.55623577,11,0,3,0,0,28,19,19,19,20,9.78,A+
1350,20,1,0,10.74204459,4,0,2,0,0,24,17,17,17,16,8.641313959,A
1351,20,0,4,14.75286758,17,0,0,0,0,27,18,18,18,20,9.409431709,A+
1352,20,0,1,14.32806213,3,0,4,0,0,27,18,18,18,20,9.629448239,A+
1353,20,0,2,13.7406949,1,0,2,0,0,26,18,18,18,19,9.539148452,A+
1354,20,1,0,15.18529567,2,1,3,0,0,27,19,19,19,20,9.91358865,A+
1355,20,0,2,9.258098217,25,0,3,0,0,23,17,17,17,20,7.85872247,B
1356,20,0,3,6.538980611,11,1,2,0,0,21,16,16,16,15,7.455594883,B
1357,20,1,2,7.077559343,2,1,3,1,1,21,16,16,16,8,7.872345746,B
1358,20,1,1,8.715725952,3,0,4,0,0,23,16,16,16,20,8.214617229,A
1359,20,1,2,13.003079,5,0,2,0,0,26,18,18,18,20,9.221435551,A+
1360,20,0,2,18.29577612,11,0,2,0,0,29,20,20,20,20,9.78,A+
1361,20,0,2,16.13122977,18,0,4,1,1,28,19,19,19,20,9.64,A+
1362,20,1,3,17.49618718,9,0,1,1,1,29,19,19,19,20,9.82,A+
1363,20,1,2,10.68184304,29,1,0,0,0,24,17,17,17,15,8.149926879,A
1364,20,0,3,11.51683598,0,1,4,0,0,25,17,17,17,18,9.001597261,A+
1365,20,0,2,11.34616267,16,0,3,1,1,25,17,17,17,17,8.623870503,A
1366,20,1,1,8.206916202,15,0,4,1,1,22,16,16,16,11,7.874163379,B
1367,20,1,1,6.174481349,8,0,0,0,0,21,15,15,15,19,7.348625432,B
1368,20,0,1,14.41425033,24,1,1,0,0,27,18,18,18,19,9.293069727,A+
1369,20,1,3,20.6100373,20,1,1,0,0,30,20,20,20,20,9.6,A+
1370,20,0,2,7.817350966,8,1,3,1,1,22,16,16,16,9,7.897063206,B
1371,20,0,2,5.948430532,26,0,3,0,0,21,15,15,15,14,6.958731265,C
1372,20,0,1,17.34827061,22,0,2,0,0,29,19,19,19,20,9.56,A+
1373,20,0,1,9.151337882,8,0,0,0,0,23,16,16,16,19,8.124982702,A
1374,20,1,2,18.12779253,11,0,3,0,0,29,20,20,20,20,9.78,A+
1375,20,1,2,16.17234815,22,1,2,1,1,28,19,19,19,20,9.56,A+
1376,20,0,1,19.93269947,8,1,1,1,1,30,20,20,20,20,9.84,A+
1377,20,0,2,11.58331256,14,0,4,0,0,25,17,17,17,14,8.731333109,A
1378,20,0,0,15.51953084,1,0,1,1,1,28,19,19,19,20,9.98,A+
1379,20,0,1,12.45329659,10,0,3,0,0,25,18,18,18,15,8.980622654,A
1380,20,0,2,15.03137974,10,1,3,1,1,27,19,19,19,20,9.764320329,A+
1381,20,1,1,12.21598298,7,0,2,1,1,25,18,18,18,20,9.076895678,A+
1382,20,1,4,8.156501611,22,0,1,1,1,22,16,16,16,9,7.629995837,B
1383,20,1,1,13.12284869,5,0,2,1,1,26,18,18,18,19,9.300268873,A+
1384,20,1,1,13.44464313,20,0,3,0,0,26,18,18,18,17,9.042277795,A+
1385,20,0,1,17.83161542,19,1,1,1,1,29,20,20,20,20,9.62,A+
1386,20,0,2,16.66365542,6,0,3,0,0,28,19,19,19,20,9.88,A+
1387,20,0,2,15.54786971,2,0,4,0,0,28,19,19,19,20,9.96,A+
1388,20,0,2,6.986021486,7,0,4,0,0,21,16,16,16,20,7.635502606,B
1389,20,0,0,16.43180897,17,0,2,0,0,28,19,19,19,20,9.66,A+
1390,20,1,0,13.00474688,16,0,3,1,1,26,18,18,18,18,9.060853816,A+
1391,20,0,2,19.13043723,10,0,4,0,0,30,20,20,20,20,9.8,A+
1392,20,1,3,19.53132564,1,0,2,1,1,30,20,20,20,20,9.98,A+
1393,20,1,3,6.080213632,24,1,1,1,1,21,15,15,15,20,7.11956841,B
1394,20,1,0,17.98775761,20,0,1,1,1,29,20,20,20,20,9.6,A+
1395,20,1,2,5.808626073,26,0,1,0,0,21,15,15,15,10,6.889740225,C
1396,20,0,3,10.93374973,23,0,3,0,0,24,17,17,17,18,8.328010676,A
1397,20,1,1,13.65799962,18,0,2,0,0,26,18,18,18,18,9.126615065,A+
1398,20,1,3,7.526012423,6,0,3,0,0,22,16,16,16,16,7.77597258,B
1399,20,1,1,16.8315482,17,1,3,1,1,28,19,19,19,20,9.66,A+
1400,20,0,3,5.352184287,7,0,3,1,1,20,15,15,15,8,7.270390124,B
1401,20,0,2,7.844874087,13,0,3,0,0,22,16,16,16,13,7.712370937,B
1402,20,0,3,14.25683958,6,0,0,1,1,27,18,18,18,19,9.549246149,A+
1403,20,1,2,16.33491763,27,0,3,0,0,28,19,19,19,20,9.46,A+
1404,20,1,1,19.48111493,20,0,2,0,0,30,20,20,20,20,9.6,A+
1405,20,0,3,16.19661459,27,0,2,0,0,28,19,19,19,20,9.46,A+
1406,20,1,1,15.67212198,26,0,0,0,0,28,19,19,19,20,9.474483118,A+
1407,20,0,1,11.35641783,3,0,4,1,1,25,17,17,17,16,8.896432798,A
1408,20,0,2,5.242202175,16,0,4,1,1,20,15,15,15,8,7.024976501,B
1409,20,1,2,7.091366247,4,0,2,1,1,21,16,16,16,10,7.727489062,B
1410,20,1,3,13.53751514,11,0,2,0,0,26,18,18,18,18,9.285286619,A+
1411,20,1,1,15.72424267,8,0,3,0,0,28,19,19,19,20,9.84,A+
1412,20,1,2,11.71586219,25,0,1,0,0,25,17,17,17,18,8.466445368,A
1413,20,0,2,16.58834018,19,1,1,1,1,28,19,19,19,20,9.62,A+
1414,20,0,0,13.34008015,12,0,3,0,0,26,18,18,18,20,9.181003709,A+
1415,20,0,1,6.376074154,24,0,1,0,0,21,15,15,15,10,7.125734278,B
1416,20,0,1,8.209141682,27,0,2,1,1,22,16,16,16,9,7.606269637,B
1417,20,0,1,18.28886125,17,1,2,1,1,29,20,20,20,20,9.66,A+
1418,20,1,4,16.49864273,19,1,2,1,1,28,19,19,19,20,9.62,A+
1419,20,0,2,19.14074202,8,0,1,1,1,30,20,20,20,20,9.84,A+
1420,20,0,2,7.050890542,3,0,2,0,0,21,16,16,16,13,7.693024616,B
1421,20,0,4,20.62568387,20,1,2,0,0,30,20,20,20,20,9.6,A+
1422,20,1,1,8.479659995,26,0,2,0,0,22,16,16,16,10,7.597867002,B
1423,20,1,3,5.405464742,7,0,3,0,0,20,15,15,15,3,7.17410656,B
1424,20,1,2,20.73769016,0,1,4,0,0,30,20,20,20,20,10,A+
1425,20,1,3,9.594482662,16,0,1,0,0,23,17,17,17,11,8.081920754,A
1426,20,0,1,15.61363593,24,0,3,1,1,28,19,19,19,20,9.52,A+
1427,20,0,3,7.970613776,8,1,1,0,0,22,16,16,16,13,7.869518943,B
1428,20,1,1,14.24799939,19,0,2,0,0,27,18,18,18,20,9.264548123,A+
1429,20,1,1,19.28498868,12,0,2,1,1,30,20,20,20,20,9.76,A+
1430,20,0,2,10.20281816,1,0,2,0,0,24,17,17,17,17,8.564363022,A
1431,20,0,1,15.64839518,12,0,3,1,1,28,19,19,19,20,9.76,A+
1432,20,1,2,8.145166937,8,0,2,1,1,22,16,16,16,15,7.930955634,B
1433,20,1,2,14.94126176,29,0,2,1,1,27,19,19,19,20,9.299464943,A+
1434,20,1,2,10.45589436,19,0,3,0,0,24,17,17,17,18,8.334814562,A
1435,20,1,1,8.507684022,5,1,1,1,1,23,16,16,16,10,8.11364813,A
1436,20,0,0,10.09394301,27,0,1,0,0,24,17,17,17,20,8.06098993,A
1437,20,0,1,8.004194399,0,1,0,1,1,22,16,16,16,19,8.08730833,A
1438,20,0,2,19.25202834,27,1,1,0,0,30,20,20,20,20,9.46,A+
1439,20,1,1,11.4006849,24,0,2,0,0,25,17,17,17,14,8.459762176,A
1440,20,1,1,9.037678077,4,0,2,1,1,23,16,16,16,20,8.252544523,A
1441,20,0,1,12.1974553,2,1,1,0,0,25,18,18,18,15,9.09940372,A+
1442,20,0,0,10.20834037,3,0,0,1,1,24,17,17,17,19,8.55487354,A
1443,20,0,2,16.80207728,0,0,3,0,0,28,19,19,19,20,10,A+
1444,20,0,3,20.33008752,13,0,3,1,1,30,20,20,20,20,9.74,A+
1445,20,1,1,12.0360791,8,1,4,1,1,25,18,18,18,16,9.027625951,A+
1446,20,0,2,18.61607511,29,0,4,0,0,30,20,20,20,20,9.42,A+
1447,20,0,2,14.0245367,23,0,4,0,0,26,18,18,18,19,9.198198017,A+
1448,20,0,2,7.668110346,3,0,3,1,1,22,16,16,16,11,7.962420713,B
1449,20,0,2,15.96524265,17,1,3,1,1,28,19,19,19,20,9.66,A+
1450,20,0,2,13.20898107,13,0,1,0,0,26,18,18,18,17,9.096298212,A+
1451,20,0,2,15.34276814,24,0,3,1,1,27,19,19,19,20,9.52,A+
1452,20,0,0,19.0618042,3,0,0,0,0,30,20,20,20,20,9.94,A+
1453,20,1,2,12.07342665,24,0,3,0,0,25,18,18,18,16,8.655451757,A
1454,20,1,2,19.24054081,9,0,2,0,0,30,20,20,20,20,9.82,A+
1455,20,1,0,16.89929578,2,0,3,1,1,28,19,19,19,20,9.96,A+
1456,20,1,1,12.82274329,22,0,0,1,1,26,18,18,18,19,8.908765766,A
1457,20,0,4,14.60567767,6,1,2,0,0,27,18,18,18,20,9.716050479,A+
1458,20,1,2,10.28681762,9,0,2,0,0,24,17,17,17,11,8.414343266,A
1459,20,1,2,20.52262466,12,0,1,1,1,30,20,20,20,20,9.76,A+
1460,20,0,3,15.60324031,3,1,2,0,0,28,19,19,19,20,9.94,A+
1461,20,0,2,5.904284372,17,0,0,1,1,21,15,15,15,18,7.197466347,B
1462,20,1,2,10.30300742,10,0,2,0,0,24,17,17,17,20,8.416555588,A
1463,20,1,2,14.91822453,24,1,2,0,0,27,19,19,19,20,9.393312052,A+
1464,20,0,3,6.098517655,3,0,3,0,0,21,15,15,15,5,7.488347236,B
1465,20,1,2,5.593754087,23,0,2,1,1,20,15,15,15,8,6.950790585,C
1466,20,0,2,12.22259928,13,0,2,1,1,25,18,18,18,20,8.958865634,A
1467,20,0,1,10.3974028,17,0,4,0,0,24,17,17,17,12,8.310167696,A
1468,20,0,4,12.04020057,7,0,2,0,0,25,18,18,18,17,8.92564253,A
1469,20,0,2,9.308562598,26,1,2,0,0,23,17,17,17,15,7.879258386,B
1470,20,1,0,7.784498286,9,0,2,1,1,22,16,16,16,7,7.802150108,B
1471,20,0,3,15.94223,4,0,3,1,1,28,19,19,19,20,9.92,A+
1472,20,0,2,13.22666181,22,0,2,1,1,26,18,18,18,19,9.037749914,A+
1473,20,1,0,8.335732175,6,1,2,1,1,22,16,16,16,15,8.069925561,A
1474,20,0,2,10.1936133,11,1,3,1,1,24,17,17,17,16,8.522937781,A
1475,20,1,2,14.42812301,24,0,0,0,0,27,18,18,18,20,9.186141087,A+
1476,20,1,3,6.345789862,2,1,3,0,0,21,15,15,15,10,7.63196016,B
1477,20,1,1,7.5159357,25,1,2,1,1,22,16,16,16,14,7.477722888,B
1478,20,0,3,6.361598286,3,0,2,0,0,21,15,15,15,20,7.5235743,B
1479,20,1,2,17.85826962,9,0,3,0,0,29,20,20,20,20,9.82,A+
1480,20,1,0,16.92636585,3,0,1,0,0,29,19,19,19,20,9.94,A+
1481,20,0,4,16.94042338,14,1,3,0,0,29,19,19,19,20,9.72,A+
1482,20,1,2,16.3650609,28,1,4,0,0,28,19,19,19,20,9.44,A+
1483,20,1,1,15.63488437,9,0,2,0,0,28,19,19,19,20,9.82,A+
1484,20,1,2,12.64209646,20,0,4,0,0,25,18,18,18,19,8.850171441,A
1485,20,1,3,15.21321588,29,0,0,0,0,27,19,19,19,20,9.294476384,A+
1486,20,1,1,5.818957519,21,1,3,0,0,21,15,15,15,10,7.067177713,B
1487,20,0,1,14.88944657,15,1,2,1,1,27,19,19,19,20,9.615503501,A+
1488,20,1,1,17.32254209,14,0,2,0,0,29,19,19,19,20,9.72,A+
1489,20,1,1,13.00557449,18,0,1,1,1,26,18,18,18,18,9.046155766,A+
1490,20,0,2,10.78354066,28,0,2,1,1,24,17,17,17,17,8.225063311,A
1491,20,0,2,9.537749208,19,1,1,1,1,23,17,17,17,18,8.121448716,A
1492,20,0,1,15.22136522,18,0,4,1,1,27,19,19,19,20,9.64,A+
1493,20,1,1,15.99912976,17,0,3,0,0,28,19,19,19,20,9.66,A+
1494,20,0,1,18.77060711,25,1,1,0,0,30,20,20,20,20,9.5,A+
1495,20,1,3,10.54741906,11,0,1,1,1,24,17,17,17,17,8.491020981,A
1496,20,1,1,17.19645811,24,1,3,0,0,29,19,19,19,20,9.52,A+
1497,20,0,4,13.95442393,15,0,2,0,0,26,18,18,18,19,9.314792741,A+
1498,20,0,2,18.9552343,0,0,1,0,0,30,20,20,20,20,10,A+
1499,20,1,1,13.4326328,15,1,2,1,1,26,18,18,18,19,9.23046365,A+
1500,20,0,3,13.27424178,1,0,2,0,0,26,18,18,18,17,9.365065493,A+
1501,20,1,2,14.21142127,23,0,1,0,0,27,18,18,18,20,9.162809287,A+
1502,20,0,2,16.87823886,14,0,3,1,1,28,19,19,19,20,9.72,A+
1503,20,0,4,20.22851856,6,0,3,1,1,30,20,20,20,20,9.88,A+
1504,20,0,0,6.366541066,27,0,0,0,0,21,15,15,15,14,7.058913428,B
1505,20,1,0,6.053427148,0,1,4,1,1,21,15,15,15,12,7.613105873,B
1506,20,0,2,19.80633858,4,1,2,0,0,30,20,20,20,20,9.92,A+
1507,20,1,1,13.46473195,9,1,1,1,1,26,18,18,18,18,9.34396054,A+
1508,20,1,1,14.78738023,21,0,1,0,0,27,18,18,18,20,9.350994368,A+
1509,20,1,0,12.72658936,20,1,1,0,0,26,18,18,18,20,8.888423159,A
1510,20,1,0,6.679115929,3,1,2,1,1,21,16,16,16,20,7.761315544,B
1511,20,0,2,17.17027922,13,0,1,0,0,29,19,19,19,20,9.74,A+
1512,20,1,1,16.8457167,12,0,2,0,0,28,19,19,19,20,9.76,A+
1513,20,1,2,10.07094056,0,0,1,1,1,24,17,17,17,20,8.593868214,A
1514,20,0,2,9.985943815,15,1,3,0,0,24,17,17,17,16,8.339653453,A
1515,20,1,2,18.25531037,22,0,3,1,1,29,20,20,20,20,9.56,A+
1516,20,0,0,6.347779565,8,1,2,0,0,21,15,15,15,3,7.436239053,B
1517,20,1,2,18.92830231,21,0,3,0,0,30,20,20,20,20,9.58,A+
1518,20,0,0,9.214737398,15,1,4,1,1,23,17,17,17,15,8.149615285,A
1519,20,1,2,14.44642941,18,0,3,0,0,27,18,18,18,19,9.346087192,A+
1520,20,0,3,19.78213167,14,0,2,0,0,30,20,20,20,20,9.72,A+
1521,20,1,2,15.77079447,25,0,2,0,0,28,19,19,19,20,9.5,A+
1522,20,1,2,11.66890819,13,0,3,1,1,25,17,17,17,18,8.768824271,A
1523,20,0,2,15.94830992,19,1,1,0,0,28,19,19,19,20,9.62,A+
1524,20,0,1,10.57301656,9,1,2,0,0,24,17,17,17,19,8.604021873,A
1525,20,0,3,9.535130921,20,0,2,0,0,23,17,17,17,17,8.011319112,A
1526,20,0,3,20.72618432,11,0,3,0,0,30,20,20,20,20,9.78,A+
1527,20,1,1,16.90118137,27,0,3,0,0,29,19,19,19,20,9.46,A+
1528,20,1,2,15.25119965,0,0,2,1,1,27,19,19,19,20,10,A+
1529,20,0,3,10.74895001,20,0,1,1,1,24,17,17,17,16,8.361302791,A
1530,20,1,4,5.986946231,16,1,4,0,0,21,15,15,15,17,7.236702241,B
1531,20,0,2,5.705329183,8,1,0,0,0,21,15,15,15,18,7.325847635,B
1532,20,0,2,13.84281953,22,0,0,1,1,26,18,18,18,19,9.12137259,A+
1533,20,1,1,17.07606455,18,0,2,0,0,29,19,19,19,20,9.64,A+
1534,20,1,4,13.58145407,24,0,3,0,0,26,18,18,18,20,9.053675966,A+
1535,20,1,1,18.30110112,17,0,3,1,1,30,20,20,20,20,9.66,A+
1536,20,1,2,5.742190515,27,0,4,1,1,21,15,15,15,8,6.986181603,C
1537,20,1,1,10.92725452,6,0,1,0,0,24,17,17,17,18,8.640583003,A
1538,20,1,1,8.909983863,8,0,2,0,0,23,16,16,16,17,8.083848902,A
1539,20,1,2,12.17980173,21,0,1,0,0,25,18,18,18,20,8.675703455,A
1540,20,0,4,6.348077227,25,0,3,0,0,21,15,15,15,3,7.059571238,B
1541,20,0,0,20.06426998,20,0,2,1,1,30,20,20,20,20,9.6,A+
1542,20,0,2,8.695084017,11,0,0,0,0,23,16,16,16,12,7.983658757,B
1543,20,0,0,19.56923206,6,1,3,1,1,30,20,20,20,20,9.88,A+
1544,20,0,1,11.84722686,13,1,2,0,0,25,17,17,17,16,8.798230347,A
1545,20,1,2,20.55259763,14,1,2,0,0,30,20,20,20,20,9.72,A+
1546,20,0,2,13.84090819,14,0,3,0,0,26,18,18,18,20,9.270024982,A+
1547,20,0,1,19.70184455,5,0,1,1,1,30,20,20,20,20,9.9,A+
1548,20,0,1,5.305428713,20,0,1,1,1,20,15,15,15,2,6.96193122,C
1549,20,0,0,16.86149254,13,0,1,0,0,28,19,19,19,20,9.74,A+
1550,20,0,1,19.26967683,1,1,2,0,0,30,20,20,20,20,9.98,A+
1551,20,0,4,7.395653264,7,0,1,1,1,22,16,16,16,10,7.785457567,B
1552,20,0,3,6.717513249,12,0,3,0,0,21,16,16,16,20,7.504100489,B
1553,20,1,1,11.826685,22,0,1,0,0,25,17,17,17,14,8.596842084,A
1554,20,1,2,19.74611632,5,0,4,0,0,30,20,20,20,20,9.9,A+
1555,20,0,3,13.65934649,4,1,1,0,0,26,18,18,18,20,9.497839579,A+
1556,20,1,0,13.42710055,4,0,1,1,1,26,18,18,18,20,9.438050548,A+
1557,20,1,3,7.417517396,24,0,1,0,0,22,16,16,16,6,7.34384179,B
1558,20,1,3,5.234503506,0,0,3,1,1,20,15,15,15,4,7.321783457,B
1559,20,1,0,17.82440141,8,1,2,1,1,29,20,20,20,20,9.84,A+
1560,20,0,1,6.584493202,5,0,3,1,1,21,16,16,16,10,7.589544906,B
1561,20,1,4,15.08210829,19,0,3,0,0,27,19,19,19,20,9.547779809,A+
1562,20,1,2,19.44958929,25,0,4,0,0,30,20,20,20,20,9.5,A+
1563,20,1,0,8.467918649,29,1,3,0,0,22,16,16,16,20,7.617477661,B
1564,20,0,1,15.57091079,6,0,0,0,0,28,19,19,19,20,9.847538577,A+
1565,20,0,2,6.446422304,8,0,3,1,1,21,16,16,16,8,7.490133484,B
1566,20,0,2,14.6139689,4,1,4,1,1,27,18,18,18,20,9.783096074,A+
1567,20,0,2,7.772271215,13,1,4,1,1,22,16,16,16,18,7.816180168,B
1568,20,0,4,16.67038872,4,0,1,0,0,28,19,19,19,20,9.92,A+
1569,20,0,1,9.908042363,7,1,3,0,0,24,17,17,17,11,8.46924307,A
1570,20,0,2,12.4305268,6,0,1,0,0,25,18,18,18,16,9.031583058,A+
1571,20,1,2,14.54669732,12,1,1,1,1,27,18,18,18,20,9.618633338,A+
1572,20,1,2,7.886475277,12,0,3,0,0,22,16,16,16,9,7.735036237,B
1573,20,1,1,16.75881051,7,0,4,0,0,28,19,19,19,20,9.86,A+
1574,20,0,4,9.929960854,10,1,2,0,0,24,17,17,17,12,8.354519066,A
1575,20,0,3,15.52578449,27,1,3,1,1,28,19,19,19,20,9.46,A+
1576,20,0,2,7.684403011,25,0,0,1,1,22,16,16,16,12,7.442092848,B
1577,20,0,2,15.9262747,17,1,0,1,1,28,19,19,19,20,9.66,A+
1578,20,0,1,7.21625891,24,0,2,1,1,22,16,16,16,16,7.374530122,B
1579,20,1,2,11.83887883,18,1,2,0,0,25,17,17,17,17,8.698303467,A
1580,20,1,2,9.067650036,5,0,3,0,0,23,16,16,16,18,8.198804901,A
1581,20,0,2,16.86361499,21,0,2,0,0,28,19,19,19,20,9.58,A+
1582,20,0,4,9.298322292,1,0,2,0,0,23,17,17,17,10,8.315511026,A
1583,20,0,2,18.93782477,27,0,2,1,1,30,20,20,20,20,9.46,A+
1584,20,0,1,19.09498107,12,0,1,0,0,30,20,20,20,20,9.76,A+
1585,20,1,2,8.277976015,22,0,4,0,0,22,16,16,16,17,7.664768017,B
1586,20,0,1,14.77093692,24,0,2,0,0,27,18,18,18,20,9.299394563,A+
1587,20,0,1,6.586718871,27,1,2,0,0,21,16,16,16,19,7.156595657,B
1588,20,0,1,11.31279933,25,0,3,1,1,25,17,17,17,15,8.481681497,A
1589,20,0,2,16.31833801,10,0,2,0,0,28,19,19,19,20,9.8,A+
1590,20,1,2,15.47991717,0,0,3,0,0,27,19,19,19,20,9.979346658,A+
1591,20,0,2,14.93978819,23,0,1,0,0,27,19,19,19,20,9.356318924,A+
1592,20,0,2,9.617302324,1,0,1,0,0,23,17,17,17,16,8.397128745,A
1593,20,1,2,11.10261032,29,0,4,0,0,24,17,17,17,16,8.310248548,A
1594,20,1,1,6.823606695,16,0,3,0,0,21,16,16,16,14,7.389590797,B
1595,20,1,3,16.40702165,7,0,2,1,1,28,19,19,19,20,9.86,A+
1596,20,0,1,13.06049239,1,0,3,0,0,26,18,18,18,17,9.322538188,A+
1597,20,0,1,16.24746539,5,0,4,0,0,28,19,19,19,20,9.9,A+
1598,20,1,2,9.094677052,21,1,1,1,1,23,16,16,16,18,7.961473805,B
1599,20,1,1,10.26903911,4,0,0,0,0,24,17,17,17,18,8.498544173,A
1600,20,1,0,10.42112747,15,1,2,0,0,24,17,17,17,12,8.38118645,A
1601,20,1,2,5.622659707,7,0,1,1,1,20,15,15,15,18,7.335020891,B
1602,20,1,2,10.52741136,18,1,1,1,1,24,17,17,17,17,8.39618134,A
1603,20,1,2,17.71807114,15,0,3,1,1,29,20,20,20,20,9.7,A+
1604,20,0,4,19.18019882,12,0,0,0,0,30,20,20,20,20,9.76,A+
1605,20,0,2,13.28339602,25,1,3,0,0,26,18,18,18,20,8.956988814,A
1606,20,0,3,12.30780415,19,0,2,0,0,25,18,18,18,20,8.811067308,A
1607,20,1,1,5.701716291,6,0,2,0,0,21,15,15,15,15,7.283828649,B
1608,20,1,2,18.89873414,15,0,3,1,1,30,20,20,20,20,9.7,A+
1609,20,1,3,5.42460332,22,1,2,0,0,20,15,15,15,16,6.943200232,C
1610,20,1,2,19.91833458,15,0,1,0,0,30,20,20,20,20,9.7,A+
1611,20,1,2,12.83225276,28,0,1,1,1,26,18,18,18,17,8.749980534,A
1612,20,1,1,10.54120323,11,1,3,1,1,24,17,17,17,18,8.566420788,A
1613,20,0,0,19.59895343,13,0,1,1,1,30,20,20,20,20,9.74,A+
1614,20,0,2,5.601637671,23,1,0,1,1,20,15,15,15,6,6.973820122,C
1615,20,1,1,14.26660948,17,0,4,0,0,27,18,18,18,20,9.334250186,A+
1616,20,0,3,13.7611726,26,1,4,1,1,26,18,18,18,18,9.168531311,A+
1617,20,1,1,8.633872908,27,0,2,0,0,23,16,16,16,9,7.667611776,B
1618,20,0,4,11.89380449,17,0,0,0,0,25,17,17,17,18,8.659398997,A
1619,20,1,4,15.3685512,15,0,3,1,1,27,19,19,19,20,9.7,A+
1620,20,1,1,16.53315195,19,0,3,1,1,28,19,19,19,20,9.62,A+
1621,20,0,1,5.233373358,15,0,1,1,1,20,15,15,15,19,7.07715918,B
1622,20,0,3,19.7954978,12,0,1,1,1,30,20,20,20,20,9.76,A+
1623,20,1,4,7.781505793,25,0,3,1,1,22,16,16,16,11,7.502590836,B
1624,20,1,2,8.855695643,28,0,4,0,0,23,16,16,16,15,7.691761917,B
1625,20,0,1,9.320698044,8,0,3,1,1,23,17,17,17,11,8.246082516,A
1626,20,0,2,5.810535457,25,0,1,1,1,21,15,15,15,11,7.012187329,B
1627,20,1,2,7.136366367,27,0,2,1,1,22,16,16,16,8,7.328096045,B
1628,20,0,1,20.56544325,8,0,3,0,0,30,20,20,20,20,9.84,A+
1629,20,1,2,10.12559369,12,0,1,0,0,24,17,17,17,18,8.314471365,A
1630,20,1,0,7.015794739,28,0,1,1,1,21,16,16,16,17,7.230600718,B
1631,20,1,0,6.886530729,3,1,1,0,0,21,16,16,16,14,7.690212084,B
1632,20,1,1,16.41382172,8,0,2,0,0,28,19,19,19,20,9.84,A+
1633,20,0,1,18.51551255,14,0,2,0,0,30,20,20,20,20,9.72,A+
1634,20,0,1,9.219257992,13,0,3,0,0,23,17,17,17,19,8.136190171,A
1635,20,0,2,5.547481303,18,1,3,1,1,20,15,15,15,4,7.14315597,B
1636,20,0,1,8.692511398,11,0,4,0,0,23,16,16,16,17,7.992996466,B
1637,20,0,1,6.10135519,20,1,3,1,1,21,15,15,15,8,7.205833282,B
1638,20,0,1,6.830587903,25,0,1,0,0,21,16,16,16,11,7.180788028,B
1639,20,0,4,11.93457075,24,1,2,0,0,25,17,17,17,20,8.659204911,A
1640,20,1,2,8.798730213,5,0,2,0,0,23,16,16,16,16,8.163074604,A
1641,20,0,2,13.248047,2,0,0,1,1,26,18,18,18,17,9.363366395,A+
1642,20,0,2,9.165458384,25,0,4,0,0,23,16,16,16,10,7.871373417,B
1643,20,1,4,19.85280246,24,1,0,1,1,30,20,20,20,20,9.52,A+
1644,20,0,1,19.31468395,21,1,2,1,1,30,20,20,20,20,9.58,A+
